style,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Dub,0.9883285,1.5488733,0.12387972,0.36191335,-0.29591992,0.99921703,-2.4401782,-1.026492,2.0937383,0.56956995,-0.0578575,-0.46511996,0.63026375,-1.5592737,0.14812797,-0.24115631,1.1845442,2.0750077,0.10078799,-1.0854127,-1.9204992,-2.025309,-2.12183,-1.2311966,-2.135067,1.2706462,1.3756152,0.19873993,-1.0079683,-0.6443032,2.1894069,-1.3210146
Acoustic,-0.12839887,1.7219214,-0.70306236,1.0392559,-0.30694348,-0.6929763,-0.93645054,1.6799085,-0.68225926,0.16104317,2.159874,0.16280729,0.12585795,-0.37485194,0.33502567,-1.8786479,-0.8347719,-0.9472149,-0.49760035,-0.119881116,0.21064404,-0.0314405,0.26613805,1.1293553,-1.1797199,-1.6839347,0.8963053,0.042668387,-0.1378182,1.3362161,0.4108876,0.56469643
Death_Metal,-0.70577186,-1.5224893,0.9077457,2.5877054,-0.45596367,0.061024517,-0.09526953,-0.24511284,-1.1833242,1.4370493,0.80006367,0.4127715,-4.64557,1.8652779,-2.248698,-0.42820343,-1.1617266,1.9679023,0.8385079,1.2454443,1.6393039,-0.038345408,2.122263,-1.2677401,-1.4092546,2.9344387,2.009262,-0.82635295,1.0418676,1.4064746,-1.9474448,1.6118859
Blues_Rock,-1.5175622,1.4455762,-1.3428012,3.235232,0.63574314,0.26174715,-0.729356,2.063066,-2.11019,-0.38345036,3.1204557,-0.94093555,-0.1792649,0.16939278,1.4905903,-0.4475352,1.0506023,0.5719048,-0.25263932,0.20883285,1.1803026,0.5322672,-0.6415762,2.3680108,-0.085778035,-1.7423949,0.20411563,2.5248814,0.74123734,0.2232606,-1.8571321,-1.1331989
Europop,2.724568,1.9663001,-3.090692,-0.8692626,2.3153422,0.20502783,1.8934875,-1.5709708,0.79501307,0.18207876,-1.6745721,0.21981736,1.3976601,0.017529154,2.0862586,-1.0295211,2.3992186,-0.55313456,-1.8843586,3.539073,-1.5950545,2.264013,0.40438715,1.1550586,1.7510182,-0.7039407,-0.5465168,0.37528133,-0.27259097,1.8039883,0.86238736,-0.68663037
Soft_Rock,0.2303302,1.9666169,-2.3937278,0.6193399,0.98663354,-0.1545422,0.41646564,1.2091255,-1.0569295,0.06417421,1.3942314,0.21668883,0.77494836,-0.22804902,2.7538936,-1.1726089,1.5037625,-0.89466465,-1.5040873,1.5997525,0.09779389,0.5470988,-0.648677,3.0811489,1.0355215,-1.8894068,-0.5912926,0.075472645,0.90042,1.6658463,-0.65876186,-1.1968323
IDM,-1.7327483,1.2610283,0.017911317,-0.5000781,0.9342735,1.6310012,-2.3149607,-1.1725397,3.7198043,0.15806529,-2.9310007,0.15849572,-1.6865746,-1.2273144,-1.6432033,0.44230804,-1.9810511,-0.4259057,-0.11936481,-0.8958735,-1.4493694,-1.9850554,-0.635412,-3.583575,-3.5746331,-0.3059427,0.7159774,0.49720302,-1.157109,1.054823,3.4469042,1.3625209
Acid,0.570481,-0.38902622,-0.9726213,0.115638025,0.8823205,1.8695033,1.0858326,-0.18209043,2.3427553,0.18623206,-0.9804991,-1.1060817,0.18094477,-0.5524898,-0.7050401,0.12323905,-0.6225116,-1.8900197,-1.5713557,-2.9964292,-2.2774632,-1.844448,-0.37321448,-4.0978336,-2.5652227,1.7542489,0.49680868,-0.3642402,0.84384704,-1.8267336,1.0174123,0.1691184
Classical,0.24709015,-1.6281637,-0.71404165,0.11152351,-1.4388982,0.3903056,-0.117093466,0.3482434,-0.44186625,-2.4555876,1.1044117,0.46651244,-1.3113289,-2.323833,-1.3615819,-0.8062911,-0.25474635,-0.5132902,-1.9625578,-0.5725333,-0.083139986,0.253015,0.43369308,-0.10843472,1.8291557,-2.3851242,-2.0018039,-2.277465,-1.8542286,-0.8183996,-0.9472737,1.4217913
Classic_Rock,-0.01193775,1.1711295,-1.0549395,2.7983265,1.7922606,1.6789104,0.31702372,1.7129042,-2.0514097,0.9589872,3.2140718,0.61109245,1.4581538,-0.20416182,1.3402617,-0.9610181,1.4833341,0.010369012,-0.55807006,1.274258,0.08574141,1.6313239,-0.62173885,2.1103404,0.11469322,-1.7525483,-0.9814845,0.20862603,2.1354241,1.7064,-1.5526834,-0.7872081
